,Name,Address,Tel,Email,Contact Persons,Products
6876,POOJA CREATION,"34, JOTHI STREET, MOTILAL NEHRU NAGAR, NAVARKULAM, LAWSPET
PUDUCHERRY, PUDUCHERRY",413-2623622,"rajagobal.123@gmail.com,ryogesh_2005@yahoo.co",RAJAGOBAL CHINNATHAMBI,"LEATHER GOODS/ACCESSORIES,LEATHER GOODS/ACCESSORIES,LEATHER GOODS/ACCESSORIES,LEATHER GOODS/ACCESSORIES,LEATHER GOODS/ACCESSORIES,PEARLS AND GEMS JEWELLERY"
6877,POOJA EMPRES,"P.N. 54-55, ANAND COLLONY-B, NEAR GAYATRI PUBLIC SCHOOL, MURLIPURA,
JAIPUR, RAJASTHAN",141-2232770,poojaempres@live.in,SHIV DAYAL,"BAGS (LEATHER),BAGS(COTTON),BED COVERS,GARMENTS"
6878,POOJA EXPORT,"61, MUNICIPAL MARKET, JANPATH,
NEW DELHI, DELHI",011-23328551,rckc1@yahoo.com,RAJAN SIRPAUL,"FOOTWEAR & SLIPPERS,HANDICRAFTS,FOOTWEAR & SLIPPERS,HANDICRAFTS,FOOTWEAR & SLIPPERS,HANDICRAFTS,FOOTWEAR & SLIPPERS,HANDICRAFTS,FOOTWEAR & SLIPPERS,HANDICRAFTS,ACCESSORIES"
6879,POOJA EXPORTS INTERNATIONAL,"CHOWRINGHEE MANSION, 30, J. N. ROAD, BLOCK- D, ROOM NO. A/4
KOLKATA, WEST BENGAL",33-32545946,pooja_export01@hotmail.com,MAYURI MODY DOSHI,"HANDICRAFTS,SCARVES/SHAWLS/PAREUS/GLOVES,HANDICRAFTS,SCARVES/SHAWLS/PAREUS/GLOVES,HANDICRAFTS,SCARVES/SHAWLS/PAREUS/GLOVES,HANDICRAFTS,SCARVES/SHAWLS/PAREUS/GLOVES,HANDICRAFTS,SCARVES/SHAWLS/PAREUS/GLOVES,HANDICRAFTS,SCARVES/SHAWLS/PAREUS/GLOVES,HANDICRAFTS,SCARVES/SHAWLS/PAREUS/GLOVES,"
6880,POOJA FRAGRANCE,"NO.211, 7TH CROSS, 1ST MAIN, CHAMARAJPET,
BANGALORE, KARNATAKA","80-26800076,80-26702256",poojafragrance@yahoo.co.in,MR. E.R. MANJUNATHA GUPTA,"INCENSE/INCENSE BURNERS,"
6881,POOJA GLASS ARTS & CRAFT,"02/207 SUHAG NAGAR,
FIROZABAD, UTTAR PRADESH",,vishnu.kumar34@gmail.com,VISHNU BHAGWAN,"HANDICRAFTS,HANDICRAFTS,"
6882,POOJA GLASS WORKS PVT. LTD.,"AGRA ROAD, RAJA KATAL,
FIROZABAD, UTTAR PRADESH","5612-243695,5612-261784","info@bajrangglass.com,bajrang2@sancharnet.in",SANTOSH KUMAR AGRAWAL,"GLASS - DECORATIVE,GLASSWARE,IRON CRAFTS,"
6883,POOJA HANDICRAFTS,"HARTHALA INDUSTRIAL ESTATE, VILLAGE MAU, KANTH ROAD
MORADABAD, UTTAR PRADESH","591-2451569,591-2435351",shivamseghal21@gmail.com,SHIVAM SEHGAL,"BRASS ARTWARES,GLASSWARE,HANDICRAFTS,POTS, PANS & UTENSILS,"
6884,POOJA HANDICRAFTS,"PLOT NO.6, BEHIND POLICE STATION, BASNI 2ND PHASE
JODHPUR, RAJASTHAN","291-2744503,291-2638542",harishp58@gmail.com,SUKHDEV JANGID,"HANDICRAFTS,"
6885,POOJA INTERNATIONAL,"TEEJ KUNJ, MUDIT MANSION KE PASS, PAL LINK ROAD
JODHPUR, RAJASTHAN",291-2747981,"info.poojainternational@gmail.com,ghanshyamsa",GHANSHYAM SARAF,"GLASSWARE,HANDICRAFTS,INDIA ITEMS,IRON CRAFTS,WOODCRAFTS,"
6886,POOJA INTERNATIONAL,"D-19, INDUSTRIAL ESTATE, HARTHALA, KANTH ROAD,
MORADABAD, UTTAR PRADESH","591-2450136,591-2451288",info@poojaint.net,DINESH KAPOOR,"ALUMINIUM WARES,BRASSWARE,EPNS WARE,HANDICRAFTS,INDIA ITEMS,"
6887,POOJA OVERSEAS,"313/96, TULSI NAGAR, INDER LOK,
NEW DELHI, DELHI","11-23124811,11-23645005",poojaoverseas96@gmail.com,RASBIR RANA,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
6888,POOJA OVERSEAS,"161-I, G/F, R/P, GUJJAR DAIRY, GAUTAM NAGAR,
NEW DELHI, DELHI",,poojaverseas@yahoo.com,UMA SHANKAR DAMOLIA,"HANDICRAFTS,"
6889,POOJA OVERSEAS,"OPP. PANCHAYAT BHAWAN, CIVIL LINES
MORADABAD, UTTAR PRADESH",,info@poojaint.net,DINESH KAPOOR,"ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,GLASSWARE,HANDICRAFTS,IRON ARTWARES,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,GLASSWARE,HANDICRAFTS,IRON ARTWARES,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,GLASSWARE,HANDICRAFTS,IRON ARTWARES,WOODEN ARTWARES,ALUMINIUM ARTWARES,BRASS ARTWARES,COPPER ARTWARES,GLASSWARE,HANDICRAFTS,IRON ARTWARES,WOODEN ARTWARES,"
6890,POOJA SILK HOUSE,"8/168, RANI ROAD, NEAR HANUMAN TEMPLE,
CHAMPA, MADHYA PRADESH",7819-244203,poojasilkhouse@yahoo.co.in,DR. HANS RAJ SINGH,"BRASSWARE,SILK PAINTINGS,"
6891,POOJA TRADERS,"KAMLA BAZAR
HATHRAS, UTTAR PRADESH",8650-481604,"poojatradershathras@gmail.com,prateek2492@gma",OM PRAKASH AGRAWAL,"ANIMAL FIGURES,ASH TRAYS,ASHTRAYS,BOWLS, DISHES, PLATES, VESSELS,BRASSWARE,BUILDERS HARDWARE,CANDLE HOLDER & LAMPS,CURTAINS RODS,DECORATIVE ITEMS,GLASS X-MAS TREE DECORATIONS,HANDICRAFTS ITEMS,HANDICRAFTS ITEMS,METALWARE,METALWARE,RELIGIOUS GIFTS,SILVERPLATED WARE,X-MAS DECORATION & ORNAMENTS,"
6892,POOJA TRADING CO,"SHEESH MAHAL DEEWAN KA BAZAR,
MORADABAD, UTTAR PRADESH",591-2470122,info@poojatradingco.com,ARPIT AGARWAL,"ALUMINIUM WARES,BRASSWARE,COPPERWARE,GLASSWARE,HANDICRAFTS,LEATHER GOODS,METAL HANDICRAFTS,"
6893,POOJA YOGIC SCIENCE,"12, RAMAR TEMPLE STREET, TEACHERS COLONY, AMBATTUR
CHENNAI, TAMIL NADU",,poojava@gmail.com,B. MANOHARAN,"METALWARE,METALWARE,AGARBATHI & RELIGIOUS GIFTS & HANDICRAFTS"
6894,POONAM ARTS,"34, NANDPURI -C, 22 GODOWN, HAWA SARAK
JAIPUR, RAJASTHAN",141-2211454,poonamarts@hotmail.com,JAGDISH CHANDER VIJAYVARGIYA,"FLOOR COVERINGS,FURNITURE,TEXTILE CRAFTS,FLOOR COVERINGS,FURNITURE,TEXTILE CRAFTS,FLOOR COVERINGS,FURNITURE,TEXTILE CRAFTS,"
6895,POONAM EXPORTS,"B -116, ASHOKA SUPER MARKET CHS LTD S V ROAD AND AAREY ROAD JUNCTION NEAR PATKAR COLLEGE GOREGAON WEST,
MUMBAI, MAHARASHTRA",022-28710605,poonamexport1@gmail.com,VIKRANT KADAM,"HANDICRAFTS,"
6896,POOPPALLY COIR MILLS,"WARD NO. 2, DOOR NO 1009, P.B. NO. 2623, A.S. ROAD, ALAPPUZHA
ALLEPPEY, KERALA","477-2245518,477-2268175",info@pooppallycoir.com,DILIP CHERIAN THOMAS,"CARPET & RUGS,COIR FLOORINGS & DOOR MATS,COIR MATTING AND RUGS,DOOR MATS,FLOOR COVERINGS,FLOOR MATS,GARDEN MATS,HANDWOVEN CARPETS,JUTE CARPETS AND DURRIES,JUTE FLOORINGS & DOOR MATS,CARPET & RUGS,COIR FLOORINGS & DOOR MATS,COIR MATTING AND RUGS,DOOR MATS,FLOOR COVERINGS,FLOOR MATS,GARDEN MATS,HANDWOVEN CARPETS,JUTE CARPETS AND DURRIES,JUTE FLOORINGS & DOOR MATS,CARPET & RUGS,COIR FLOORINGS & DOOR MATS,COIR MATTING AND RUGS,DOOR MATS,FLOOR COVERINGS,FLOOR MATS,GARDEN MATS,HANDWOVEN CARPETS,JUTE CARPETS AND DURRIES,JUTE FLOORINGS & DOOR MATS,"
6897,POORNIMA HANDICRAFTS,"E-91-92, M.G.D.MARKET,TRIPOLIA BAZAR,
JAIPUR, RAJASTHAN","141-2311966,141-2312249",mohit@poornimahandicrafts.com,MR. GANESH KUMAR RANA,"INDIA ITEMS,"
6898,POORNIMA IMPEX,"DB/60C, HARI NAGAR
NEW DELHI, DELHI",11-28126358,poornima.impex@yahoo.in,PRACHI,"BRASSWARE,HANDICRAFTS,LEATHER ACCESSORIES,WOODCRAFTS,ZARI AND ZARI PRODUCTS,BRASSWARE,HANDICRAFTS,LEATHER ACCESSORIES,WOODCRAFTS,ZARI AND ZARI PRODUCTS,BRASSWARE,HANDICRAFTS,LEATHER ACCESSORIES,WOODCRAFTS,ZARI AND ZARI PRODUCTS,BRASSWARE,HANDICRAFTS,LEATHER ACCESSORIES,WOODCRAFTS,ZARI AND ZARI PRODUCTS,BRASSWARE,HANDICRAFTS,LEATHER ACCESSORIES,WOODCRAFTS,ZARI AND ZARI PRODUCTS,BRASSWARE,HANDICRAFTS,LEATHER ACCESSORIES,WOODCRAFTS,ZARI AND ZARI PRODUCTS,BRASSWARE,HANDICRAFTS,LEATHER ACCESSORIES,WOODCRAFTS,ZARI AND ZARI PRODUCTS,"
6899,POORNIMA INTERNATIONAL,"A-202/83, SECTOR-83, PHASE-II
NOIDA, UTTAR PRADESH",120-3078077,sunnypoornima@gmail.com,INDERJIT SINGH,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,INDIAN ITEMS"
6900,POPAT RAJA & SONS,"UNIT NO.111, 1ST FL., A2, SHAH& NAHAR IND.EST.,DHANRAJ MILLCOMPOUND, LOWER PAREL (W),
MUMBAI, MAHARASHTRA","22-24932087,22-24932104","info@gutkafoodexports.com,account@gutkafoodex",KUMUD H. GUTKA,"HANDICRAFTS,SCULPTURES,"
6901,POPLI BRASS EXPORTS,"MB-11, TOLSTOY HOUSE15-17, TOLSTOY MARG
NEW DELHI, DELHI","11-23328317,11-23315871",manavpopli68@hotmail.com,NEELAM POPLI,"ALUMINIUM WARES,BRASSWARE,COPPERWARE,JEWELLERY-COSTUME,WOODCRAFTS,"
6902,POPULAR ART EMPORIUM,"66, GAYATRI NAGAR PAL ROAD
JODHPUR, RAJASTHAN",291-2766362,popularhc@gmail.com,MAHADEV SUTHAR,"ACCENT FURNITURE,FURNITURE,FURNITURE- INDUSTRIAL, CONTEMPORARY, OLD TRADITIONAL,FURNITURE- WOODEN,FURNITURE-COLONIAL,FURNITURE-METAL/IRON,INDUSTRIAL FURNITURE,LEATHER FURNITURE,VINTAGE FURNITURE,WROUGHT IRON FURNITURE,ACCENT FURNITURE,FURNITURE,FURNITURE- INDUSTRIAL, CONTEMPORARY, OLD TRADITIONAL,FURNITURE- WOODEN,FURNITURE-COLONIAL,FURNITURE-METAL/IRON,INDUSTRIAL FURNITURE,LEATHER FURNITURE,VINTAGE FURNITURE,WROUGHT IRON FURNITURE,ACCENT FURNITURE,FURNITURE,FURNITURE- INDUSTRIAL, CONTEMPORARY, OLD TRADITIONAL,FURNITURE- WOODEN,FURNITURE-COLONIAL,FURNITURE-METAL/IRON,INDUSTRIAL FURNITURE,LEATHER FURNITURE,VINTAGE FURNITURE,WROUGHT IRON FURNITURE,"
6903,POPULAR ART PALACE PVT. LTD.,"39-40 SARANGPURA, NEAR BAD KE BALAJI, AJMER ROAD,
JAIPUR, RAJASTHAN",,papdesignsjodhpur@gmail.com,RAM RATAN SINGHAL,"FURNITURE,HOMEWEAR,IRON CRAFTS,WOODCRAFTS,FURNITURE,HOMEWEAR,IRON CRAFTS,WOODCRAFTS,FURNITURE,HOMEWEAR,IRON CRAFTS,WOODCRAFTS,FURNITURE,HOMEWEAR,IRON CRAFTS,WOODCRAFTS,FURNITURE,HOMEWEAR,IRON CRAFTS,WOODCRAFTS,"
6904,POPULAR CASE CENTRE,"2057/58, KINARI BAZAR
DELHI, DELHI","11-23265324,11-23267394",popularcasecentre@rediffmail.com,MAHESH KUMAR DUBEY,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,IMMITATION JEWELLERY"
6905,POPULAR HANDICRAFTS,"38,GAYATRI NAGAR PAL BALAJI, PAL ROAD,
JODHPUR, RAJASTHAN",291-2766060,popularhc@gmail.com,BHEEMA RAM JANGID,"BRASSWARE,HANDICRAFTS,IRON CRAFTS,"
6906,POPULAR INDUSTRIES,"XIII/800,805,806A, 806B, EDAPPALLY PO., MAROTTICHODU THOPPIL ROAD,
ERNAKULAM, KERALA","0484-2575015,0484-2575016",popular@popularcandles.com,SHIRLY JOSE,"CANDLES,CANDLES,CANDLES,CANDLES,CANDLES,"
6907,PORGAI ARTISANS ASSOCIATION,"SITTILINGI POST, HARUR TALUK, SITTILINGI
DHARMAPURI DISTT., TAMIL NADU",,porgai@gmail.com,R NEELA,"EMBROIDERY ,EMBROIDERY ,EMBROIDERY ,"
6908,PORT OF TRUST TRADING PVT. LTD.,"D4-601, THE LEGEND, SECTOR 57,
GURGAON, HARYANA",124-2380468,ganesh.purohit@gmail.com,GANESH PREMSUKH PUROHIT,"BAMBOO PRODUCTS,HANDICRAFTS,JUTE PRODUCTS,METALWARE,PAPIER MACHE,TEXTILE CRAFTS,BAMBOO PRODUCTS,HANDICRAFTS,JUTE PRODUCTS,METALWARE,PAPIER MACHE,TEXTILE CRAFTS,BAMBOO PRODUCTS,HANDICRAFTS,JUTE PRODUCTS,METALWARE,PAPIER MACHE,TEXTILE CRAFTS,BANANA FIBRE, HOME & APPAREL"
6909,POSHKING INTERNATIONAL PVT LTD,"PLOT 32 KAUSHAMBI
GHAZIABAD, UTTAR PRADESH",-8700322513,info@poshking.com,DIVAKAR DIXIT,"BACKPACKS & KNAPSACKS,BAGS,BLANKETS,CANDLE, VOTIVES & T-LITES,DOOP & INCENCE CONES,IMITATION/ARTIFICIAL JEWELLERY,INCENSE,LUGGAGE & ACCESSORIES,MUFFLERS,SMOKING ACCESSORIES,WALKING STICKS AND TRAVEL AND DAILY USE BAGS"
6910,POTENTIAL EXPORT (P) LTD.,"B-1/492, JANAKPURI,
NEW DELHI, DELHI",11-25527118,potexport@yahoo.com,COL. RAJ KUMAR BILLA (RETD.),"HANDICRAFTS,INDIA ITEMS,WOODCRAFTS,"
6911,POWER ENGINEERS ASSOCIATES,"A-24, VISHNU GARDEN, PART-I,
NEW DELHI, DELHI",11-25985712,pea-crafts@hotmail.com,MS. GURCHARAN KAUR,
6912,POWER PACK EXPORTS,"203, REBELLO HERITAGE, ABOVE MOGA VEERA BANK, AZAD ROAD, ANDHERI (E)
MUMBAI, MAHARASHTRA",022-26846045,powerpackexports@gmail.com,NEHAL S SHAH,"HANDICRAFTS,JEWELLERY- FASHION,HANDICRAFTS,JEWELLERY- FASHION,HANDICRAFTS,JEWELLERY- FASHION,HANDICRAFTS,JEWELLERY- FASHION,"
6913,POWERDEALS INTERNATIONAL,"B-472, NEW FRIENDS COLONY,
NEW DELHI, DELHI","11-26845734,11-26833394",powerdealsintl@gmail.com,N. K. TALUJA,"BRASSWARE,GLASSWARE,HANDICRAFTS,WOODCRAFTS,"
6914,POYSER EXIM,"FLAT NO.3/1C FLOOR-1 9-B BECHULAL ROAD,
KOLKATA, WEST BENGAL","-0983108558,-9831023503,-9831266863","poyserexim@gmail.com,anita.poyser.sadique@gma",ANITA POYSER SADIQUE,"HANDICRAFTS,"
6915,PRABAS EXPORTS,"#59,9/D, RAMAKRISHNAPURAM, 50, FEET MAIN ROAD,
KARUR, TAMIL NADU",4324-232566,prabasexports@gmail.com,SENNIYAPPAN PRABHAKARAN,"HANDLOOM-FABRICS & PRODUCTS,KITCHEN TABLES,NAPKINS,"
6916,PRABHA BRASSHARDS INTERNATIONAL,"C-225, SECTOR-2, TALA NAGRI
ALIGARH, UTTAR PRADESH",571-2780476,info@prabhabrass.com,UMESH CHANDRA GOEL,"BRASS ARTWARES,HANDICRAFTS,IRON ARTWARES,BRASS ARTWARES,HANDICRAFTS,IRON ARTWARES,BRASS ARTWARES,HANDICRAFTS,IRON ARTWARES,"
6917,PRABHA ENGINEERING WORKS,"D-43, INDUSTRIAL ESTATE
ALIGARH, UTTAR PRADESH",571-2403829,viral_kandasami@rediffmail.com,SURENDRA SINGH SHARMA,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HARDWARE AND ELECTRICAL GOODS"
6918,PRABHU CREATIONS,"613, HEMKUNT CHAMBERS, 89, NEHRU PLACE,
NEW DELHI, DELHI","11-30828829,11-41618828",anil@prabhucreations.com,ANIL KUMAR BANSAL (HUF),"PURSES,SCARVES/SHAWLS/PAREUS/GLOVES,"
6919,PRABHU ENTERPRISES,"P-192, LAKE TOWN, BLOCK-B, FIRST FLOOR
KOLKATA, WEST BENGAL","33-32012937,33-40678188",pranav.kamalia@gmail.com,KRISHNA KUMAR KAMALIA,"BAGS (COTTON),JUTE PRODUCTS,BAGS (COTTON),JUTE PRODUCTS,BAGS (COTTON),JUTE PRODUCTS,BAGS (COTTON),JUTE PRODUCTS,BAGS (COTTON),JUTE PRODUCTS,BAGS (COTTON),JUTE PRODUCTS,CANVAS BAG"
6920,PRACHI CREATIONS,"G-66 G-BLOCK PREM NAGAR, NAJAFGARH
NEW DELHI, DELHI",,prachi_creations@rediffmail.com,MR. RAVI PRAKASH,
6921,PRACHI EXPORTS,"II-K/9, LAJPAT NAGAR,
NEW DELHI, DELHI","11-29831212,11-29831223","prachiexports@brass-handicrafts.com,prachiexp",AJAY POPLI,"BRASSWARE,COPPERWARE,HANDICRAFTS,IRON CRAFTS,WOODCRAFTS,"
6922,PRACHI INTERNATIONAL INC.,"17-E-769, CHOPASNI HOUSING BOARD
JODHPUR, RAJASTHAN",,samratart@gmail.com,HEMANT KUMAR GUJARATI,"FURNITURE- WOODEN,GIFTWARE,HANDICRAFTS,FURNITURE- WOODEN,GIFTWARE,HANDICRAFTS,"
6923,PRACHIN ART GALLARY & OLD FURNITURES,"P NO-6/3, NEAR MASJID M.I.A. 2ND PHASE BASNI,
JODHPUR, RAJASTHAN",291-2747595,matheswariprachin@yahoo.co.in,MUKESH KUMAR SOLANKI,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,WOODEN & SOLD HANDICRAFTS"
6924,PRADEEP CARPETS INTERNATIONAL,"LASAMARIA, P.O. KHAMARIA
BHADOHI, UTTAR PRADESH",5414-243224,pradeepcarpet@hotmail.com,RAJENDRA PRASAD MISHRA,"CARPETS ,CARPETS & DURRIES,HAND KNOTTED WOOLEN-PILE/FLAT WEAVE CARPETS,CARPETS ,CARPETS & DURRIES,HAND KNOTTED WOOLEN-PILE/FLAT WEAVE CARPETS,CARPETS ,CARPETS & DURRIES,HAND KNOTTED WOOLEN-PILE/FLAT WEAVE CARPETS,CARPETS ,CARPETS & DURRIES,HAND KNOTTED WOOLEN-PILE/FLAT WEAVE CARPETS,"
6925,PRADHAAN OVERSEAS,"166,JOTHIDAR STREET,VENGAMEDU
KARUR, TAMIL NADU",4324-220828,sales@pradhaanoverseas.in,A.BASKAR,"BAGS,FASHION ACCESSORIES,HANDICRAFTS,HOME FURNISHING,HOUSEHOLD PRODUCTS-DECORATIVE,RUGS,WALL HANGINGS,BAGS,FASHION ACCESSORIES,HANDICRAFTS,HOME FURNISHING,HOUSEHOLD PRODUCTS-DECORATIVE,RUGS,WALL HANGINGS,MADE UPS"
6926,PRADHAN INTERNATIONAL,"NO.20-27, J.C. INDUSTRIAL AREA, OPP DELHI PUBLIC SCHOOL, YELACHENAHALLI, OFF KANAKAPUR AMAIN ROAD,
BANGALORE, KARNATAKA",080-26861228,pradhan4@gmail.com,K. SHOBHA DEVI,"DOOP & INCENCE CONES,INCENSE STICKS,DOOP & INCENCE CONES,INCENSE STICKS,"
6927,PRAGATI GLASS & CHEMICALS,"93,STATION ROAD,
FIROZABAD, UTTAR PRADESH",5612-242804,info@progressiveoverseas.com,SUMAN BIHARI SINGHAL,"GLASSWARE,HANDICRAFTS,"
6928,PRAGATI HANDICRAFTS,"G 19 AND 20 UPSIDC INDUSTRIAL AREA SITE 4 SURAJPUR GREATER NOIDA
GAUTAM BUDH NAGAR, UTTAR PRADESH",120-4298411,pragatihandicraftsdelhi@gmail.com,PREM LATA DWIVEDI,"BOXES - DECORATIVE & JEWELLERY,BOXES - GIFT,CANDLE HOLDERS,CANDLE STAND,COASTERS,DECORATIVE ITEMS,DOOR HANDLES/KNOBS,PHOTO FRAMES,WOOD CARVINGS,X-MAS DECORATION & ORNAMENTS,DECORATIVE AND GIFTS"
6929,PRAGATI MAHILA SEVA TRUST,"53, LAVANYA SOCIETY, VASNA
AHMEDABAD, GUJARAT",079-26400967,pragatimahila.trust@gmail.com,DEVAL R SHAH,"EMBROIDERY FURNISHING,EMBROIDERY FURNISHING,EMBROIDERY FURNISHING,EMBROIDERY FURNISHING,EMBROIDERY FURNISHING,"
6930,PRAGNAYA INTERNATIONAL,"K-906, KW SRISHTI,RAJNAGAR EXTENSION
GHAZIABAD, UTTAR PRADESH",,anoop5feb@gmail.com,ANOOP KUMAR SHREEVASTAVA,"HANDICRAFTS,"
6931,PRAGYA INTERNATIONAL,"C-46, ANAND VIHAR,
NEW DELHI, DELHI","11-22142526,11-22142728","pintc46@gmail.com,pinto46@yahoo.co.in",PRAGYA KAPOOR,"ACCESSORIES FOR CURTAINS,FLOOR COVERINGS,HANDICRAFTS,"
6932,PRAKASH CRAFT,"RZ-80 D/10, TUGHLAKABAD EXTN.,
NEW DELHI, DELHI","11-23279035,11-26828071","info@prakashcraft.com,prakashcraft@vsnl.net",MAN MOHAN GUPTA,"JEWELLERY-FASHION,JEWELLERY-FASHION,JEWELLERY-FASHION,JEWELLERY-FASHION,JEWELLERY-FASHION,JEWELLERY-FASHION,"
6933,PRAKASH HANDICRAFTS (P) LTD.,"""SHIVAM"" KHASRA NO.331/73, MAHAVEERPURAM, NEAR CHOPSANI SCHOOL, CHOPSANI ROAD,
JODHPUR, RAJASTHAN",291-2746817,"phpltd@sancharnet.in,modiprakash_2008@gmail.c",PRAKASH CHANDRA MODI,"IRON CRAFTS,TEXTILE CRAFTS,WOODEN GIFTS,"
6934,PRAKASH TEXTILES,"F-28/3, OKHLA INDL.AREA,PHASE-II,
NEW DELHI, DELHI","120-2530053,11-26383831,120-2539802,120-2537549",mailbox@prakashtextiles.com,PRAKASH MANI,"DECORATIVE OBJECTS,FURNISHING FABRICS,INDIA ITEMS,"
6935,PRAKHER INDUSTRIES,"D-86, INDUSTRIAL ESTATE
ALIGARH, UTTAR PRADESH","571-2502601,571-2502603",aristoengg@rediffmail.com,KAMAL KANT VARSHNEY,"BRASSWARE,IRON CRAFTS,"
6936,PRAKRITI HANDICRAFTS (OPC) PRIVATE LIMITED,"201/31, NATWAR PARIKH COMPOUND , INDIAN OIL MHADA COLONY, MANKHURD GOVANDI LINK ROAD,
MUMBAI, MAHARASHTRA",-9920087731,ankushseo5@gmail.com,ANKUSH KISAN DUDHAL,"HANDICRAFTS,"
6937,PRAMOD EXPORTS,"RZA-86, ROAD NO-4, STREET NO-6, MAHIPALPUR,
DELHI, DELHI","11-26784731,11-26891486",pramodexports37@gmail.com,PRAMOD VIJAY,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
6938,PRANAS AGARBATHIES,"212 9TH, CROSS GOKULAM 3RD STAGE,
MYSORE, KARNATAKA",-4287941,pranasbathies@gmail.com,NINA AHUJA,"HANDICRAFTS,AGARBATHIES"
6939,PRANAV ARTS,"13/24, EAST PATEL NAGAR
NEW DELHI, DELHI",11-25785200,info.neelamexpo@gmail.com,PRANAV SAHANI,"HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,HANDICRAFTS,INDIA ITEMS,"
6940,PRASADSONS,"NEAR DAUJI TEMPLE, GUJARATI STREET,
MORADABAD, UTTAR PRADESH",591-2470836,prasadsonsindia@bsnl.in,ARVIND KUMAR AGARWAL,"ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,ALUMINIUM WARES,BRASSWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,"
6941,PRASAN INDIA,"214, CR AVENUE, 4TH FLOOR,
KOLKATA, WEST BENGAL",-9831520595,india.prasan@gmail.com,CHANDRA PRAKASH KHAITAN,"APRON,BAGS (CANVAS),BAGS (COTTON),BAGS (JUTE),COTTON POUCH,JUTE FLOORINGS & DOOR MATS,TABLE MATS,"
6942,PRASHANT ENTERPRISES,"GOPAL GANJ, SARAI LAVARIA,
ALIGARH, UTTAR PRADESH","571-2525577,571-2523294,571-2523295",nishantsinghal@prashant-enterprises.com,RAMESH CHAND SINGHAL,"BRASSWARE,IRON CRAFTS,"
6943,PRASHANTI EXPORTS,"#113, 5TH CROSS, IST MAIN FIRST BLOCK EAST, JAYANAGAR
BANGALORE, KARNATAKA",80-26657650,prashantiexpo@gmail.com,A. S. SREENIVASA MURTHY,"METALWARE,TEXTILE CRAFTS,WOODCRAFTS,"
6944,PRATAP MUSIC HOUSE,"6, ASTEY HALL,
DEHRADUN, UTTARAKHAND",135-2657533,ajitpmh@gmail.com,AJIT SINGH,
6945,PRATEEK INDUSTRIES,"E-2/41 IST FLOOR CHANAKYA PLACE OPP. CI-JANAK PURI,
NEW DELHI, DELHI",,bahlpankaj2@gmail.com,PANKAJ BHEL,"HANDICRAFTS,HANDICRAFTS,"
6946,PRATEEK INTERNATIONAL,"327-A, 3RD FLOOR,A-1 BLDG., SHAH & NAHAR,LOWER PAREL,
MUMBAI, MAHARASHTRA","22-24926583,22-24933448",adityaent@hotmail.com,MR. RAHUL N. MEHTA,
6947,PRATEEK INTERNATIONAL,"YASH- E-83, SHASTRI NAGAR
JODHPUR, RAJASTHAN",,k_kumar31109@yahoo.in,JITENDRA TATIYA,"HANDICRAFTS,IRON CRAFTS,STAINLESS STEEL TABLEWARE,"
